response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,fold_change,se_fold_change,log_2_fold_change,significant,gene,control_detect_frac,control_mean_cpm,passes_expression_filter,expected_ko_direction,direction_matches_expectation
Fam83h,Fam83h,25,1400,True,0.448,1.11943969113203,0.153761413478483,0.162776806307155,False,Fam83h,0.6078264568268782,0.676129726947018,True,negative,False
Ino80,Ino80,91,1079,True,0.448,1.06717988932719,0.094672506630612,0.0938033847523592,False,Ino80,0.4695874096129276,0.436691924705442,True,negative,False
Glt8d1,Glt8d1,28,667,True,0.452,1.14548142370096,0.164526268856633,0.195954062613072,False,Glt8d1,0.29476818375159325,0.24161095866349444,True,negative,False
Usp22,Usp22,59,1792,True,0.452,0.936107919613019,0.0865073984260562,-0.0952532337587216,False,Usp22,0.7754147171416367,1.1792418166133394,True,negative,True
Chtop,Chtop,30,2111,True,0.46,1.09251525216325,0.118005714536494,0.12765342074801,False,Chtop,0.9128030625265783,2.164720710479283,True,negative,False
Scd1,Scd1,18,674,True,0.46,0.819218413872551,0.175738065035773,-0.287679951199782,False,Scd1,0.29476818375159325,0.24693060560686408,True,negative,True
Yars2,Yars2,31,896,True,0.464,0.909901878269025,0.153913760188346,-0.136217118111352,False,Yars2,0.39174819225861085,0.3060405086085885,True,negative,True
Actl6a,Actl6a,124,1790,True,0.468,0.959495709282263,0.0537130026343774,-0.0596517399633625,False,Actl6a,0.7741386643981233,1.1459609753231828,True,negative,True
P4hb,P4hb,123,2282,True,0.468,1.02445084867205,0.0375103512709468,0.0348507680698637,False,P4hb,0.9872394725648593,7.796562819863425,True,negative,False
Sult1d1,Sult1d1,9,385,True,0.468,0.755808624447914,0.383269089400657,-0.403907113763362,False,Sult1d1,0.17184176945980337,0.2767254759160888,True,negative,True
Zc3h3,Zc3h3,20,568,True,0.472,1.16169989344001,0.243487918232288,0.216237419718817,False,Zc3h3,0.2488302849851112,0.17981668037065185,True,negative,False
Cpox,Cpox,20,1219,True,0.476,0.874010546831027,0.173565790875301,-0.194277405814792,False,Cpox,0.528711186729048,0.5508827915556451,True,negative,True
Zbtb21,Zbtb21,47,1284,True,0.476,1.11045293813182,0.117908817597343,0.151148251630902,False,Zbtb21,0.5572096980008471,0.5705273358760858,True,negative,False
Cdadc1,Cdadc1,32,980,True,0.484,0.893285697895807,0.138619124579646,-0.162806431278966,False,Cdadc1,0.42620161633347237,0.3679062791571415,True,negative,True
Deaf1,Deaf1,25,784,True,0.5,0.877437020924283,0.148136393262962,-0.188632516890011,False,Deaf1,0.34198213526158866,0.27736965324382423,True,negative,True
Nrf1,Nrf1,19,298,True,0.5,0.853943401458324,0.180247646317089,-0.227787642303103,False,Nrf1,0.13143343258187937,0.08832001039219645,True,negative,True
Pa2g4,Pa2g4,92,1985,True,0.5,1.04777453789387,0.0589580312101269,0.0673283084246504,False,Pa2g4,0.8575074436409981,1.9153941264012369,True,negative,False
