response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,fold_change,se_fold_change,log_2_fold_change,significant
Ino80e,Ino80e,8,243,True,0.824,0.913731217670053,0.302596983301209,-0.130158249037356,False
Sphk2,Sphk2,14,432,True,0.828,1.04635185812475,0.248336503475831,0.0653680701435594,False
Abca2,Abca2,38,1075,True,0.832,0.95766965839563,0.124730284659232,-0.0624000009111464,False
Hsd17b12,Hsd17b12,38,1980,True,0.832,1.0225938667235,0.101402002057317,0.0322332782193123,False
Kars,Kars,67,2035,True,0.836,0.99056517158716,0.061810859757604,-0.0136761983868886,False
Mcee,Mcee,35,1252,True,0.848,0.962788560247123,0.138152134304358,-0.0547090949245517,False
Phtf2,Phtf2,11,442,True,0.848,0.933451348908677,0.294593900902797,-0.0993532631346059,False
Fam3a,Fam3a,20,644,True,0.852,0.937286075517012,0.192243523616716,-0.0934386449337508,False
Pcbd2,Pcbd2,19,675,True,0.856,1.01241570532134,0.202387513974782,0.0178017928590158,False
Rack1,Rack1,62,2299,True,0.86,1.00027772211761,0.0429516557375322,0.0004006126948972,False
Nr4a1,Nr4a1,7,227,True,0.864,0.920554837243044,0.317650637080785,-0.119424429735684,False
Epas1,Epas1,14,340,True,0.872,1.02846712822299,0.26800307209371,0.0404956833061573,False
Frk,Frk,34,1390,True,0.872,0.97572334642028,0.135021841737938,-0.0354559464083623,False
Zxdc,Zxdc,44,1208,True,0.872,1.01904147394146,0.133449017205632,0.0272127689051625,False
Zfp292,Zfp292,29,906,True,0.876,0.971948856261926,0.149957319595605,-0.0410476933593196,False
Rsbn1,Rsbn1,22,906,True,0.88,0.972228800074707,0.199015275709254,-0.0406322235570595,False
H2-D1,H2-D1,25,552,True,0.884,1.02476070337664,0.201237855047536,0.035287058650667,False
Mthfd1l,Mthfd1l,31,1269,True,0.884,0.981424960908077,0.131761137078622,-0.0270501304708749,False
Zfp212,Zfp212,18,681,True,0.884,1.0249366522825,0.21978720052135,0.0355347445969506,False
Tmem175,Tmem175,28,439,True,0.888,0.991233953244842,0.153922418177004,-0.0127024891895111,False
Mphosph10,Mphosph10,113,1827,True,0.892,1.01257294792054,0.0632838287744049,0.0180258465772066,False
Urm1,Urm1,63,1372,True,0.892,0.984454096697999,0.102763681285897,-0.0226041574350849,False
Atp5j,Atp5j,36,2165,True,0.896,1.01091828235447,0.0821125390375763,0.0156663816061163,False
Cldn12,Cldn12,69,1767,True,0.896,0.976719467321268,0.0830078628969243,-0.0339838430529574,False
Rlim,Rlim,80,2092,True,0.896,1.00773593201774,0.0543213587010679,0.0111176433230534,False
Tspan7,Tspan7,19,647,True,0.896,1.01591491217018,0.258235052586294,0.022779574422401,False
Pkm,Pkm,157,2232,True,0.9,0.991813358950748,0.0434275499932524,-0.0118594374305147,False
Efna5,Efna5,14,420,True,0.904,0.986111617998327,0.268725953929213,-0.0201771403543782,False
Irf1,Irf1,21,501,True,0.904,0.950722783213407,0.194274061780405,-0.0729033611472758,False
Chchd1,Chchd1,134,2060,True,0.908,0.990559154347586,0.0499481976475026,-0.0136849621394501,False
Lyrm9,Lyrm9,16,858,True,0.928,1.00846451589795,0.246818363473102,0.0121603217905519,False
Gatad1,Gatad1,34,2053,True,0.932,0.985146704267614,0.0919664435575292,-0.0215895137096536,False
Ska1,Ska1,23,277,True,0.932,0.973943087980929,0.185566980672549,-0.038090623489983,False
Fdft1,Fdft1,32,1471,True,0.94,0.995358825701418,0.170494316154833,-0.0067113855748401,False
Ifih1,Ifih1,28,627,True,0.944,0.979716565446619,0.163167479623631,-0.0295636607290937,False
Ostm1,Ostm1,29,1001,True,0.944,0.967177903892948,0.179908470022325,-0.0481468096760553,False
Ate1,Ate1,37,752,True,0.948,1.005323668433,0.146012630236136,0.0076600582858103,False
Flcn,Flcn,27,416,True,0.952,1.00270948417995,0.182205885421054,0.0039036733041887,False
Sub1,Sub1,39,1399,True,0.952,1.02230342346213,0.136542621827521,0.0318234570926805,False
Arl14ep,Arl14ep,55,1407,True,0.956,1.01103166432031,0.109547561354958,0.0158281814570729,False
Tcf3,Tcf3,25,891,True,0.964,0.995664617664978,0.188500744550326,-0.0062682320255323,False
Alg11,Alg11,26,539,True,0.968,0.984397689790609,0.180658583679189,-0.0226868228405197,False
