names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
Tmem203,0.40810892,0.031839095,0.6831937129677685,1.0,0.4534137452833231
Zfp36,0.40703487,0.013176976,0.6839823788683204,1.0,0.7064211307124197
Zfp580,0.40679383,0.017410612,0.6841594071419237,1.0,0.1425484568000774
Rictor,0.4066828,0.02030808,0.6842409928346243,1.0,0.5360402489760376
Ltbr,0.40642843,0.016193628,0.6844278379524067,1.0,0.842583932660367
Ezr,0.40639287,0.014998441,0.6844539488522683,1.0,0.9002805818041087
Fxr2,0.40635067,0.015244585,0.6844849560357102,1.0,0.7340600509562357
Csrnp2,0.40631068,0.035655178,0.6845143317526823,1.0,0.2906762989002483
Ncln,0.40625292,0.011443705,0.6845567641864154,1.0,0.755700325732899
Tm4sf4,0.40620852,0.006327379,0.6845894051975667,1.0,0.9838746089592673
Arhgap31,0.406093,0.21213834,0.6846742745833213,1.0,0.025929628793498243
Snrnp25,0.40605077,0.013271524,0.6847052855443436,1.0,0.6249234043925566
Chm,0.40590084,0.022332747,0.6848154603614194,1.0,0.48134292256587224
Rai1,0.40565094,0.02421375,0.6849990999571846,1.0,0.6664624117134841
Lrig3,0.40553874,0.10022133,0.6850815397861737,1.0,0.07530557616022189
Miga1,0.40552208,0.23009795,0.6850937836450247,1.0,0.046570129325636145
Fndc3b,0.40517223,0.015416481,0.6853509237854115,1.0,0.6751056213113168
Lmcd1,0.40505448,0.035241872,0.6854374616823349,1.0,0.30412487502821944
H2ax,0.40467796,0.010840008,0.6857142473731077,1.0,0.6344373851065889
Susd1,0.40447915,0.1437476,0.6858604137669435,1.0,0.06650111265198182
Ppp3cc,0.40445247,0.055901367,0.6858800123895146,1.0,0.1775728061405489
Pdcd2l,0.4043825,0.023594795,0.6859314597790712,1.0,0.6195375237849517
Thsd1,0.4042759,0.34432372,0.6860098586005345,1.0,0.02160802399458187
Crip2,0.40382493,0.010750107,0.6863414576441031,1.0,0.5439094398039153
Crybg1,0.40365833,0.04880674,0.6864639848865699,1.0,0.2759054407069371
Itpripl2,0.40316185,0.027494134,0.68682916492543,1.0,0.47169993872351407
S1pr2,0.40314963,0.0694602,0.6868381523807465,1.0,0.2564904698938949
Fbxo31,0.40299302,0.07952101,0.6869533591371901,1.0,0.211597381236495
Adam15,0.40290415,0.042968407,0.6870187279060211,1.0,0.25065307833714967
Zfp276,0.40270868,0.071950406,0.6871625474346246,1.0,0.20330893024155836
Rhebl1,0.40260538,0.00232166,0.6872385475533889,1.0,0.20724352565549714
Timm10,0.40256095,0.023383483,0.6872712367486273,1.0,0.7219015061115232
Klhl42,0.4024521,0.020490205,0.6873513277477381,1.0,0.4793111232947399
Snrpd2,0.40170795,0.007199091,0.6878989826093587,1.0,0.9117941110071919
Banp,0.4012281,0.17104247,0.6882521842259679,1.0,0.04153900732092753
Amotl2,0.40052393,0.016827226,0.688770663419342,1.0,0.9220176089270165
Dusp19,0.40021625,0.030044472,0.6889972373167184,1.0,0.3280872061147483
Psmd3,0.40009743,0.010263813,0.6890847661129236,1.0,0.8900570838842842
Rabl3,0.39957982,0.051235534,0.6894660148118739,1.0,0.1857967555713226
H1f3,0.3994021,0.00785236,0.6895969338428798,1.0,0.16399522688425194
Thra,0.3992844,0.057022855,0.689683672818709,1.0,0.2659721998258458
Sncg,0.39923996,0.26467666,0.6897164055674527,1.0,0.041797013577579256
Bicc1,0.39916444,0.010246239,0.6897720525727689,1.0,0.9646208920566324
Atf4,0.39910555,0.019444067,0.6898154256667732,1.0,0.6851356145386526
Manba,0.3990189,0.017450659,0.6898792596207564,1.0,0.3288934756667849
Zfp599,0.39877567,0.016333342,0.690058497516806,1.0,0.2490405392330764
Pigw,0.3982303,0.016961768,0.6904604136924555,1.0,0.4127777598606766
Sdhaf4,0.39820144,0.009831834,0.690481698857321,1.0,0.5771922469119876
Phax,0.39806372,0.018149298,0.69058321608763,1.0,0.7069371432257232
Armh3,0.39802706,0.038102593,0.6906102337076567,1.0,0.22733576289225013
Dnajc19,0.39776716,0.029827582,0.6908018245002516,1.0,0.3845905763214758
Irs1,0.39771497,0.03824125,0.6908403088007483,1.0,0.4028767697616667
Yipf1,0.39761612,0.025705615,0.6909131855162156,1.0,0.375528106556584
Chka,0.39708185,0.019967074,0.6913070968748942,1.0,0.8489373367304157
Dusp4,0.39682972,0.03734361,0.6914930258631162,1.0,0.26574644435127553
Eif3i,0.3968186,0.005508242,0.6915012169953385,1.0,0.7647950462798723
Kremen1,0.39676976,0.062041186,0.6915372584060002,1.0,0.16335021124262264
Wdr7,0.39664757,0.035556912,0.6916273649900436,1.0,0.3971038797690844
Chst13,0.39624995,0.09909817,0.6919206511903017,1.0,0.09797787596349211
Ccdc89,0.39586896,0.5135828,0.6922016922134266,1.0,0.018060437965620665
H1f1,0.39579567,0.04521469,0.692255774941893,1.0,0.3136711065243332
Bmyc,0.39539692,0.13526477,0.6925499796826674,1.0,0.0496017028412939
Dpp7,0.39516035,0.041739963,0.6927245576276583,1.0,0.24681523526945529
Dhrs13,0.3947616,0.026299572,0.6930188362611246,1.0,0.46179894862450416
